Wavelength (nm), T (%)
341.00,23.45
342.00,24.51
343.00,25.95
344.00,27.45
345.00,28.94
346.00,30.43
347.00,31.87
348.00,33.24
349.00,34.99
350.00,36.26
351.00,37.39
352.00,38.88
353.00,40.81
354.00,42.31
355.00,43.68
356.00,44.98
357.00,46.19
358.00,47.32
359.00,48.48
360.00,49.75
361.00,50.94
362.00,51.94
363.00,52.84
364.00,53.65
365.00,54.65
366.00,55.54
367.00,56.24
368.00,57.08
369.00,58.02
370.00,58.37
371.00,58.73
372.00,59.41
373.00,60.61
374.00,61.35
375.00,62.10
376.00,62.70
377.00,63.28
378.00,63.82
379.00,64.35
380.00,64.88
381.00,65.43
382.00,65.99
383.00,66.56
384.00,67.14
385.00,67.66
386.00,68.05
387.00,68.45
388.00,68.84
389.00,69.14
390.00,69.45
391.00,69.76
392.00,70.07
393.00,70.34
394.00,70.62
395.00,70.90
396.00,71.17
397.00,71.43
398.00,71.69
399.00,71.94
400.00,72.21
401.00,72.51
402.00,72.81
403.00,73.12
404.00,73.36
405.00,73.56
406.00,73.75
407.00,73.94
408.00,74.14
409.00,74.34
410.00,74.54
411.00,74.73
412.00,74.92
413.00,75.09
414.00,75.26
415.00,75.43
416.00,75.60
417.00,75.77
418.00,75.93
419.00,76.10
420.00,76.26
421.00,76.43
422.00,76.59
423.00,76.75
424.00,76.92
425.00,77.07
426.00,77.22
427.00,77.36
428.00,77.51
429.00,77.66
430.00,77.82
431.00,77.99
432.00,78.15
433.00,78.31
434.00,78.46
435.00,78.60
436.00,78.74
437.00,78.87
438.00,79.00
439.00,79.13
440.00,79.25
441.00,79.38
442.00,79.49
443.00,79.59
444.00,79.70
445.00,79.80
446.00,79.90
447.00,79.96
448.00,80.02
449.00,80.09
450.00,80.15
451.00,80.20
452.00,80.25
453.00,80.30
454.00,80.35
455.00,80.42
456.00,80.54
457.00,80.66
458.00,80.78
459.00,80.90
460.00,80.98
461.00,81.04
462.00,81.11
463.00,81.17
464.00,81.22
465.00,81.27
466.00,81.32
467.00,81.36
468.00,81.40
469.00,81.42
470.00,81.45
471.00,81.47
472.00,81.49
473.00,81.52
474.00,81.54
475.00,81.56
476.00,81.59
477.00,81.61
478.00,81.64
479.00,81.67
480.00,81.70
481.00,81.74
482.00,81.78
483.00,81.82
484.00,81.86
485.00,81.90
486.00,81.92
487.00,81.94
488.00,81.96
489.00,81.98
490.00,82.00
491.00,82.03
492.00,82.06
493.00,82.10
494.00,82.13
495.00,82.16
496.00,82.19
497.00,82.22
498.00,82.25
499.00,82.21
500.00,82.16
501.00,82.11
502.00,82.06
503.00,82.00
504.00,82.07
505.00,82.14
506.00,82.21
507.00,82.28
508.00,82.31
509.00,82.33
510.00,82.35
511.00,82.37
512.00,82.38
513.00,82.38
514.00,82.38
515.00,82.39
516.00,82.39
517.00,82.42
518.00,82.44
519.00,82.46
520.00,82.48
521.00,82.49
522.00,82.49
523.00,82.49
524.00,82.49
525.00,82.49
526.00,82.49
527.00,82.49
528.00,82.49
529.00,82.49
530.00,82.49
531.00,82.48
532.00,82.47
533.00,82.47
534.00,82.45
535.00,82.43
536.00,82.41
537.00,82.38
538.00,82.37
539.00,82.37
540.00,82.36
541.00,82.36
542.00,82.36
543.00,82.34
544.00,82.32
545.00,82.30
546.00,82.28
547.00,82.28
548.00,82.27
549.00,82.27
550.00,82.27
551.00,82.26
552.00,82.24
553.00,82.22
554.00,82.19
555.00,82.17
556.00,82.13
557.00,82.08
558.00,82.04
559.00,82.00
560.00,81.97
561.00,81.95
562.00,81.93
563.00,81.91
564.00,81.89
565.00,81.84
566.00,81.80
567.00,81.76
568.00,81.72
569.00,81.68
570.00,81.64
571.00,81.60
572.00,81.56
573.00,81.52
574.00,81.49
575.00,81.45
576.00,81.41
577.00,81.40
578.00,81.43
579.00,81.45
580.00,81.48
