Wavelength (nm), QE (%)
3.010000000000000000e+02,6.338530802917519580e+00
3.020000000000000000e+02,6.614293357633653336e+00
3.030000000000000000e+02,6.890055912349787093e+00
3.040000000000000000e+02,7.165818467065920849e+00
3.050000000000000000e+02,7.337044903401301887e+00
3.060000000000000000e+02,7.499165925583969994e+00
3.070000000000000000e+02,7.775409918183615154e+00
3.080000000000000000e+02,8.291929601052922649e+00
3.090000000000000000e+02,8.593227831653027948e+00
3.100000000000000000e+02,8.894526062253131471e+00
3.110000000000000000e+02,9.064002628092600489e+00
3.120000000000000000e+02,9.226123650651656405e+00
3.130000000000000000e+02,9.490527127156880738e+00
3.140000000000000000e+02,1.000497013268229729e+01
3.150000000000000000e+02,1.016634693371784692e+01
3.160000000000000000e+02,1.031495097965388474e+01
3.170000000000000000e+02,1.060134995748614095e+01
3.180000000000000000e+02,1.110461895652630027e+01
3.190000000000000000e+02,1.140591717458408461e+01
3.200000000000000000e+02,1.170721539264186895e+01
3.210000000000000000e+02,1.187043393086536724e+01
3.220000000000000000e+02,1.203255495952644516e+01
3.230000000000000000e+02,1.234014092884142144e+01
3.240000000000000000e+02,1.284331241082417385e+01
3.250000000000000000e+02,1.316783263068363929e+01
3.260000000000000000e+02,1.350187889374842953e+01
3.270000000000000000e+02,1.385350075655667546e+01
3.280000000000000000e+02,1.418662256834086399e+01
3.290000000000000000e+02,1.448706085991227077e+01
3.300000000000000000e+02,1.478749915148367755e+01
3.310000000000000000e+02,1.520567223066734641e+01
3.320000000000000000e+02,1.572985630655207601e+01
3.330000000000000000e+02,1.610858987324965952e+01
3.340000000000000000e+02,1.647212631232396518e+01
3.350000000000000000e+02,1.681213196543557586e+01
3.360000000000000000e+02,1.715295656776174127e+01
3.370000000000000000e+02,1.750457843940449365e+01
3.380000000000000000e+02,1.785620031104724958e+01
3.390000000000000000e+02,1.853747626137214155e+01
3.400000000000000000e+02,1.967944008607667428e+01
3.410000000000000000e+02,2.048136345483962018e+01
3.420000000000000000e+02,2.084653991385449601e+01
3.430000000000000000e+02,2.121171637286937184e+01
3.440000000000000000e+02,2.165443556079632970e+01
3.450000000000000000e+02,2.211844282512274873e+01
3.460000000000000000e+02,2.266906159122939357e+01
3.470000000000000000e+02,2.319132821631708907e+01
3.480000000000000000e+02,2.358424699870741748e+01
3.490000000000000000e+02,2.406066597433228793e+01
3.500000000000000000e+02,2.509159759486150776e+01
3.510000000000000000e+02,2.552458471891719327e+01
3.520000000000000000e+02,2.608875911985946061e+01
3.530000000000000000e+02,2.686652286919199639e+01
3.540000000000000000e+02,2.739722260151979327e+01
3.550000000000000000e+02,2.820635845842581446e+01
